ES_LMP_NEB_01_0001|24591|25696|Le tapis-franc.§
ES_LMP_NEB_01_0001|24591|25696|{l x^} {t a p i f r a~}.§
ES_LMP_NEB_01_0001|26638|33861|Un "tapis-franc", en argot de vol et de meurtre, signifie un estaminet ou un cabaret du plus bas étage.§
ES_LMP_NEB_01_0001|26638|33861|{x~} "{t a p i f r a~}", {a~ n} {a r g o} {d x^} {v o^ l} {e^} {d x^} {m x^ r t r q}, {s i n i f i} {x~ n} {e^ s t a m i n e^} {u} {x~} {k a b a r e^} {d y} {p l y} {b a z} {e t a z^ q}.§
ES_LMP_NEB_01_0001|34344|39454|Un repris de justice, qui, dans cette langue immonde, s'appelle un "ogre",
ES_LMP_NEB_01_0001|34344|39454|{x~} {r x^ p r i} {d x^} {z^ y s t i s}, {k i}, {d a~} {s e^ t q} {l a~ g q} {i m m o~ d q}, {s a p e^ l q} {x~ n} "{o^ g r q}",
ES_LMP_NEB_01_0001|39759|43619|ou une femme de même dégradation, qui s'appelle une "ogresse",
ES_LMP_NEB_01_0001|39759|43619|{u} {y n q} {f a m} {d x^ m e^ m} {d e g r a d a s j o~}, {k i} {s a p e^ l} {y n} "{o^ g r e^ s}",
ES_LMP_NEB_01_0001|43903|48972|tiennent ordinairement ces tavernes, hantées par le rebut de la population parisienne;
ES_LMP_NEB_01_0001|43903|48972|{t j e^ n t} {o^ r d i n e^ r m a~} {s e} {t a v e^ r n q}, {a~ t e} {p a r} {l x^} {r x^ b y} {d x^ l a} {p o^ p y l a s j o~} {p a r i z j e^ n q};
ES_LMP_NEB_01_0001|49163|54122|forçats libérés, escrocs, voleurs, assassins y abondent.§
ES_LMP_NEB_01_0001|49163|54122|{f o^ r s a} {l i b e r e}, {e^ s k r o}, {v o^ l x^ r}, {a s a s e~} {i} {a b o~ d q}.§
ES_LMP_NEB_01_0001|54886|59536|Un crime a-t-il été commis, la police jette, si cela se peut dire,
ES_LMP_NEB_01_0001|54886|59536|{x~} {k r i m} {a t i l} {e t e} {k o^ m i}, {l a} {p o^ l i s q} {z^ e^ t}, {s i} {s x^ l a} {s x^} {p x} {d i r q},
ES_LMP_NEB_01_0001|59691|61673|son filet dans cette fange;
ES_LMP_NEB_01_0001|59691|61673|{s o~} {f i l e^} {d a~} {s e^ t q} {f a~ z^ q};
ES_LMP_NEB_01_0001|61861|64772|presque toujours elle y prend les coupables.§
ES_LMP_NEB_01_0001|61861|64772|{p r e^ s k q} {t u z^ u r} {e^ l} {i} {p r a~} {l e} {k u p a b l q}.§
ES_LMP_NEB_01_0001|65539|69663|Ce début annonce au lecteur qu'il doit assister à de sinistres scènes;
